district,total_load,Avg_Service_Min,Stress_Level_Percent,Est_Wait_Time_Mins,Optimal_Counters
Hyderabad,271860.0,12.786387161085996,144837.8005672016,480.0,8520.0
Hyderabad,271206.0,12.805163583535823,144701.54978485068,480.0,8512.0
Surat,277080.0,12.48750365416611,144168.22968734772,480.0,8481.0
Surat,275114.0,12.541010123039456,143758.64412457822,480.0,8457.0
Hyderabad,265113.0,12.984546270660923,143432.16731057205,480.0,8438.0
Ahmadnagar,232583.0,14.770040071544045,143135.84291499702,480.0,8420.0
Nanded,231954.0,14.80093121510638,143047.29996119937,480.0,8415.0
Visakhapatnam,230702.0,14.880343992059053,143038.54665233367,480.0,8415.0
Amravati,227999.0,14.908135964912281,141626.6704943348,480.0,8331.0
Raigarh,254475.0,13.262291925368208,140621.73907116978,480.0,8272.0
Raigarh,254123.0,13.273736443625946,140548.4052609815,480.0,8268.0
Raigarh,249574.0,13.424541720925573,139600.69064409495,480.0,8212.0
Raigarh,248609.0,13.457242267004546,139399.64761490555,480.0,8200.0
Guntur,256773.0,12.911178701893494,138135.08703422075,480.0,8126.0
Yavatmal,255403.0,12.903106450956132,137312.1707038979,480.0,8078.0
East Godavari,247761.0,13.267551117604798,136965.90551870345,480.0,8057.0
East Godavari,246067.0,13.324467220443129,136612.98648053248,480.0,8037.0
Yavatmal,251163.0,13.036521953783186,136428.83181158526,480.0,8026.0
Bengaluru,220688.0,14.825387762869921,136324.38227550988,480.0,8020.0
Guntur,247832.0,13.196588025000706,136272.36680883227,480.0,8017.0
Yavatmal,246230.0,13.19752590047557,135401.11676975415,480.0,7965.0
Yavatmal,246005.0,13.205023454712487,135354.24145735605,480.0,7963.0
Guntur,242889.0,13.36339495244761,135242.56819187698,480.0,7956.0
East Godavari,238884.0,13.574774473072818,135116.51771773028,480.0,7949.0
East Godavari,238773.0,13.578760669084573,135093.39255163877,480.0,7947.0
Guntur,238656.0,13.511734413824023,134360.68701106607,480.0,7904.0
Hyderabad,217131.0,14.74897758045797,133435.84379260082,480.0,7850.0
Sitapur,244252.0,12.992102451146966,132222.7919957312,480.0,7778.0
Raigarh,213802.0,14.834076229051977,132148.13191349048,480.0,7774.0
Surat,213157.0,14.732897662766586,130850.84446259741,480.0,7698.0
Sitapur,237298.0,13.226309423975659,130774.03223710734,480.0,7693.0
Allahabad,242860.0,12.848378290462446,130014.88131757124,480.0,7648.0
Sitapur,232705.0,13.388674980447432,129817.15047187581,480.0,7637.0
Sitapur,232172.0,13.407932877638657,129706.10800279675,480.0,7630.0
East Godavari,208735.0,14.813280890694466,128835.42444662958,480.0,7579.0
Allahabad,236188.0,13.070083704152184,128624.87207984566,480.0,7567.0
Allahabad,234252.0,13.136779464937483,128221.5359675223,480.0,7543.0
Guntur,206766.0,14.8245126156495,127716.88231197436,480.0,7513.0
Allahabad,231286.0,13.241124663297116,127603.61495313903,480.0,7507.0
South 24 Parganas,292157.0,10.466750867681187,127413.93888538053,480.0,7495.0
Yavatmal,206556.0,14.77204839342167,127135.6344979836,480.0,7479.0
Kolhapur,225633.0,13.419763865374899,126164.23250983891,480.0,7422.0
Kolhapur,221626.0,13.571992582131239,125329.43450030907,480.0,7373.0
South Delhi,241892.0,12.427271562219659,125252.39886368491,480.0,7368.0
Kolhapur,220260.0,13.62515379481615,125044.84895192522,480.0,7356.0
South Delhi,238918.0,12.519724258012129,124632.81167815592,480.0,7332.0
Kolhapur,218084.0,13.711213517665131,124591.5120327701,480.0,7329.0
South Delhi,233253.0,12.702354514820753,123452.59573522853,480.0,7262.0
Sitapur,198945.0,14.812185216088787,122783.757825616,480.0,7223.0
Beed,223859.0,13.009626552309479,121346.74959889364,480.0,7139.0
Beed,222020.0,13.07597029109859,120963.6218345712,480.0,7116.0
Beed,221858.0,13.081867312121663,120929.871588862,480.0,7114.0
Beed,217613.0,13.239520435266114,120045.49001998187,480.0,7062.0
Murshidabad,267463.0,10.767075195166452,119991.42637186687,480.0,7059.0
Allahabad,194744.0,14.78749133482246,119990.63385452771,480.0,7059.0
South Delhi,215076.0,13.35331067478159,119665.6936120552,480.0,7040.0
Kolhapur,194226.0,14.781261101700588,119621.05078078744,480.0,7037.0
Latur,213168.0,13.451252292781783,119474.02286448781,480.0,7028.0
Latur,212578.0,13.47470822611829,119351.10522049059,480.0,7021.0
North 24 Parganas,246364.0,11.59693950033487,119044.51679418751,480.0,7003.0
Latur,210252.0,13.568462756773982,118866.51798071848,480.0,6993.0
South 24 Parganas,248955.0,11.415410755314191,118413.48269121852,480.0,6966.0
Latur,207464.0,13.6836092834936,118285.67984961317,480.0,6958.0
Bareilly,238130.0,11.900550537309297,118078.25414372762,480.0,6946.0
South 24 Parganas,246000.0,11.492473607830863,117797.85448026635,480.0,6930.0
Purnia,214602.0,13.158949315713201,117664.03504377852,480.0,6922.0
South 24 Parganas,244720.0,11.526432141091284,117531.1863986608,480.0,6914.0
Madhubani,218634.0,12.856358771468429,117118.2143183845,480.0,6890.0
Chittoor,221362.0,12.687802387932942,117024.88800823383,480.0,6884.0
Madhubani,218052.0,12.877327989066877,116996.96344466713,480.0,6883.0
Purnia,210373.0,13.32296291366804,116782.98654321193,480.0,6870.0
Madhubani,215363.0,12.975683029661411,116436.75101320712,480.0,6850.0
Purnia,208153.0,13.411728816164954,116320.48284463267,480.0,6843.0
Purnia,207355.0,13.444100966453828,116154.23149579305,480.0,6833.0
North 24 Parganas,232354.0,11.994706376019453,116125.75022056767,480.0,6831.0
Madhubani,212715.0,13.074968502604412,115885.08020964573,480.0,6817.0
Bareilly,225666.0,12.281680529275437,115481.57159664462,480.0,6794.0
North 24 Parganas,228044.0,12.126904777565832,115227.82804563426,480.0,6779.0
Agra,218189.0,12.67374765112975,115219.68026051455,480.0,6778.0
North 24 Parganas,226759.0,12.16729140941965,114960.11802952462,480.0,6763.0
Chittoor,211108.0,13.061214822674543,114888.62244938241,480.0,6759.0
Murshidabad,241603.0,11.384352080263572,114603.90065199665,480.0,6742.0
Murshidabad,241290.0,11.39263379073401,114538.69197359207,480.0,6738.0
Bareilly,221104.0,12.43192148526718,114531.1486699381,480.0,6738.0
Chittoor,208590.0,13.158525535617548,114364.03506143599,480.0,6728.0
Agra,212519.0,12.878482025221155,114038.4217299156,480.0,6709.0
Chittoor,206188.0,13.253568328087338,113863.614434653,480.0,6698.0
Latur,182940.0,14.84768313281331,113176.46467986947,480.0,6658.0
South Delhi,182655.0,14.836003197266994,112911.25683320011,480.0,6642.0
Murshidabad,232435.0,11.636170816913042,112693.89015954931,480.0,6630.0
Beed,182321.0,14.834441263259508,112692.92356494737,480.0,6629.0
Agra,206048.0,13.125906944464667,112690.28642054397,480.0,6629.0
Agra,204003.0,13.207363581106252,112264.24135985078,480.0,6604.0
Bareilly,209951.0,12.826717535436671,112207.590553436,480.0,6601.0
K.v. Rangareddy,214823.0,12.515058838863443,112021.77020588174,480.0,6590.0
Patna,223059.0,12.028265937415942,111792.20715558594,480.0,6577.0
East Champaran,228111.0,11.712031808935961,111318.47033200797,480.0,6549.0
K.v. Rangareddy,210088.0,12.684433739986387,111035.30481526084,480.0,6532.0
K.v. Rangareddy,209106.0,12.720521072943518,110830.71997828863,480.0,6520.0
Katihar,214942.0,12.368953629566908,110775.31796026541,480.0,6517.0
Patna,218076.0,12.188859898109383,110754.0754641709,480.0,6515.0
Jodhpur,205716.0,12.87788563900893,110382.79675476506,480.0,6494.0
Patna,216060.0,12.255936980760064,110334.07266929247,480.0,6491.0
Purnia,178361.0,14.816749083324924,110113.75763545488,480.0,6478.0
Alwar,206024.0,12.820434413299356,110054.88248189943,480.0,6474.0
K.v. Rangareddy,205120.0,12.870549578053929,110000.29706043424,480.0,6471.0
West Delhi,244054.0,10.751715801765995,109333.3020118416,480.0,6432.0
Indore,214805.0,12.204710296732866,109234.69980373763,480.0,6426.0
Jodhpur,198702.0,13.155966442378826,108921.5351680649,480.0,6408.0
Salem,191999.0,13.600911458333334,108806.72496202258,480.0,6401.0
Jodhpur,198042.0,13.183147094317901,108784.03403553773,480.0,6400.0
Patna,208507.0,12.518776257985305,108760.52005098925,480.0,6398.0
Salem,191681.0,13.615180350789329,108740.47436748538,480.0,6397.0
Salem,191101.0,13.64132766794696,108619.63994468052,480.0,6390.0
East Champaran,214527.0,12.137040386336515,108488.45262331725,480.0,6382.0
Krishna,193128.0,13.474465253794095,108429.02189728107,480.0,6379.0
Malappuram,199675.0,13.029783248863158,108405.08209236461,480.0,6377.0
Salem,189632.0,13.708268075704122,108313.59548883018,480.0,6372.0
Krishna,192373.0,13.507724536579786,108271.72884481099,480.0,6369.0
Madhubani,175767.0,14.772398843930636,108187.5094833815,480.0,6364.0
Malappuram,197840.0,13.104260492011262,108022.7873224795,480.0,6355.0
Alwar,196103.0,13.21607412393424,107987.99099691151,480.0,6353.0
Krishna,190754.0,13.579932373987576,107934.43416948442,480.0,6350.0
Katihar,200695.0,12.892060629011041,107807.17116414045,480.0,6342.0
Malappuram,196221.0,13.171127600371008,107685.49286968332,480.0,6335.0
Malappuram,195545.0,13.199375083100652,107544.65835937153,480.0,6327.0
Katihar,199405.0,12.943116054682406,107538.41903683105,480.0,6326.0
Bijnor,212523.0,12.128818392275695,107402.20296590033,480.0,6318.0
Bijnor,212499.0,12.129623529411765,107397.20293235293,480.0,6318.0
Krishna,187737.0,13.717814187857547,107305.88675774218,480.0,6313.0
Alwar,192758.0,13.358649920366883,107291.11005625332,480.0,6312.0
Alwar,191811.0,13.3999176276771,107093.81667009887,480.0,6300.0
Chittoor,173231.0,14.823791216403436,106997.50734203265,480.0,6294.0
Muzaffarpur,207044.0,12.40102393199546,106981.56662400284,480.0,6294.0
Katihar,195805.0,13.08915457136145,106788.41295189285,480.0,6282.0
East Champaran,206314.0,12.421152121755568,106777.39911866159,480.0,6282.0
East Champaran,206037.0,12.431129209175007,106719.69036961628,480.0,6278.0
Lucknow,207224.0,12.332730124261069,106484.90280291149,480.0,6264.0
Muzaffarpur,204268.0,12.50160327803044,106403.22909986341,480.0,6260.0
Coimbatore,190584.0,13.398588556287221,106398.19172547682,480.0,6259.0
Coimbatore,189345.0,13.453545361401877,106140.06443560994,480.0,6244.0
Bijnor,206448.0,12.338592097806238,106136.56922532925,480.0,6244.0
Coimbatore,189317.0,13.454795634857753,106134.23105018187,480.0,6244.0
Lucknow,205281.0,12.402134624565232,106080.10824439063,480.0,6241.0
Indore,199460.0,12.758985465830413,106037.80170893892,480.0,6238.0
Muzaffarpur,202001.0,12.585791229789804,105930.93392536542,480.0,6232.0
Indore,198688.0,12.789132765276387,105876.96711946813,480.0,6229.0
Jodhpur,184004.0,13.807450884486835,105859.42468954647,480.0,6228.0
Muzaffarpur,201557.0,12.602501513212077,105838.43322910361,480.0,6226.0
Agra,172364.0,14.7138920314449,105672.7202544987,480.0,6217.0
Lucknow,202734.0,12.495129109428564,105549.47936962044,480.0,6209.0
Coimbatore,186373.0,13.58834923326215,105520.89215211527,480.0,6208.0
Ghaziabad,219671.0,11.43179376525001,104634.73200859311,480.0,6155.0
Bijnor,198588.0,12.629047933168504,104499.05712300279,480.0,6148.0
Tiruvallur,196166.0,12.75168606340516,104226.96867974734,480.0,6131.0
Indore,190100.0,13.141014513337646,104087.78579106195,480.0,6123.0
Lucknow,195608.0,12.768175288458098,104064.88465936297,480.0,6122.0
Salem,167648.0,14.850192962677976,103733.54790862657,480.0,6102.0
Bareilly,168511.0,14.751442033801746,103574.1770232486,480.0,6093.0
Samastipur,199758.0,12.4254226342743,103419.89894072358,480.0,6084.0
West Godavari,190009.0,13.051918320088417,103332.58117006999,480.0,6079.0
Samastipur,198914.0,12.456928838951312,103244.06429463172,480.0,6074.0
Samastipur,198283.0,12.480659054689234,103112.60497253938,480.0,6066.0
North 24 Parganas,169586.0,14.583606054709382,103048.97568308104,480.0,6062.0
Darbhanga,192163.0,12.86174829832851,102981.3390938209,480.0,6058.0
Krishna,166192.0,14.847977953343403,102817.2980009186,480.0,6049.0
Darbhanga,190320.0,12.937878636619185,102597.37758839014,480.0,6036.0
Rewa,180191.0,13.6577927987924,102542.1392586334,480.0,6032.0
Tiruvallur,187503.0,13.109826990357538,102422.16209054204,480.0,6025.0
Aligarh,206474.0,11.904104613149292,102412.0039956411,480.0,6025.0
Darbhanga,189171.0,12.986092022075148,102358.00057949907,480.0,6022.0
Samastipur,193552.0,12.663508186388224,102126.97235382555,480.0,6008.0
Rewa,178183.0,13.75535962824945,102123.80186001549,480.0,6008.0
Tiruvallur,185550.0,13.19518622912299,102015.28353390712,480.0,6001.0
West Godavari,183627.0,13.331763129805912,102002.98617653626,480.0,6001.0
Rewa,177527.0,13.787712360867019,101987.13384531831,480.0,6000.0
Chennai,191261.0,12.796451987326286,101977.59181450053,480.0,5999.0
West Godavari,183382.0,13.342894379522638,101951.94404606753,480.0,5998.0
Sagar,182076.0,13.428000241656003,101871.52383332327,480.0,5993.0
Tiruvallur,184673.0,13.234104421846064,101832.57357898242,480.0,5991.0
K.v. Rangareddy,165569.0,14.750649272211149,101760.42705628031,480.0,5986.0
Jodhpur,163816.0,14.892837739672927,101653.54613176086,480.0,5980.0
South 24 Parganas,167924.0,14.511121036176865,101531.89536995682,480.0,5973.0
Alwar,163653.0,14.845191684896184,101227.50645034647,480.0,5955.0
Malappuram,164789.0,14.729686267370592,101137.09459640551,480.0,5950.0
Prakasam,183720.0,13.211391185547651,101133.19952536726,480.0,5950.0
Darbhanga,183254.0,13.24394968759379,101125.28150209635,480.0,5949.0
West Godavari,179339.0,13.53097468495595,101109.64454272146,480.0,5948.0
Chennai,187093.0,12.970138005494563,101109.25124424977,480.0,5948.0
Gaya,201995.0,11.99872769757817,100986.79171967927,480.0,5941.0
Ghaziabad,201926.0,11.997008820019115,100937.83345796584,480.0,5938.0
Kancheepuram,188787.0,12.819220501303048,100837.59086581244,480.0,5932.0
Prakasam,180941.0,13.337505941130306,100554.23593725245,480.0,5915.0
Coimbatore,162444.0,14.853458093508571,100535.63110591278,480.0,5914.0
Vadodara,179043.0,13.476268403297514,100534.64682214987,480.0,5914.0
Vadodara,178486.0,13.502720086056687,100418.60405332973,480.0,5907.0
Rewa,169915.0,14.181389627816097,100401.28410876551,480.0,5906.0
Sagar,174743.0,13.781674907292954,100343.80076354553,480.0,5903.0
West Delhi,200901.0,11.987162895342008,100343.04220154604,480.0,5903.0
Chennai,183036.0,13.146795456656305,100264.03555018932,480.0,5898.0
Prakasam,179091.0,13.423631429656266,100168.81568202376,480.0,5893.0
Sagar,173615.0,13.838730301354714,100108.79838623744,480.0,5889.0
Prakasam,177714.0,13.48890076808373,99881.937962468,480.0,5876.0
Vadodara,175751.0,13.63503687013519,99848.80687346373,480.0,5874.0
Chennai,180138.0,13.277857654366905,99660.28008926439,480.0,5863.0
Katihar,161402.0,14.813355389924599,99621.04944352542,480.0,5861.0
Kancheepuram,181568.0,13.130104808640242,99333.61957896629,480.0,5844.0
Sagar,169844.0,14.034973063675704,99323.16520945566,480.0,5843.0
Patna,161935.0,14.681139462503705,99057.92995252239,480.0,5827.0
Kancheepuram,180124.0,13.19528105482304,99032.78352995605,480.0,5826.0
Gaya,192583.0,12.340770780542517,99025.94413455081,480.0,5826.0
Vadodara,171670.0,13.840310827105336,98998.5899870489,480.0,5824.0
Kancheepuram,178905.0,13.251120700256001,98778.82286997083,480.0,5811.0
Nagaur,180017.0,13.14882400648824,98625.49379899973,480.0,5802.0
Hardoi,186174.0,12.706432120316906,98566.97056532832,480.0,5799.0
Ghaziabad,189743.0,12.446269710768194,98399.68973876206,480.0,5789.0
Ghaziabad,189491.0,12.456172292233973,98347.18932615449,480.0,5786.0
Aligarh,185589.0,12.681044237297268,98060.92995649012,480.0,5769.0
Rewa,157353.0,14.914365062216405,97784.17023478908,480.0,5753.0
Murshidabad,160407.0,14.616010423420278,97687.93266623234,480.0,5747.0
Nagaur,174648.0,13.399332375221158,97506.94169448437,480.0,5736.0
Aligarh,182127.0,12.827050206448213,97339.67387290808,480.0,5726.0
Indore,157444.0,14.829559528724316,97284.3821016863,480.0,5723.0
Gaya,182514.0,12.745746924910282,96928.21892721146,480.0,5702.0
Barmer,181748.0,12.792092391154835,96872.38366281702,480.0,5699.0
Hardoi,178034.0,13.058780576852866,96871.1225508093,480.0,5699.0
East Champaran,158589.0,14.654423355823193,96834.5977323602,480.0,5697.0
Muzaffarpur,158222.0,14.684717139733161,96810.22147011917,480.0,5695.0
Ludhiana,178034.0,13.033504647962479,96683.623603973,480.0,5688.0
Sangli,171813.0,13.504865726890708,96679.6456305947,480.0,5688.0
Hardoi,176648.0,13.12201031423897,96582.3699162369,480.0,5682.0
Gaya,179982.0,12.854714056327541,96400.7143869143,480.0,5671.0
Aligarh,177559.0,13.028412930840279,96387.99881612789,480.0,5670.0
Nagaur,168956.0,13.682297862769817,96321.09657092237,480.0,5666.0
Lucknow,158394.0,14.593263676252407,96311.89194734683,480.0,5666.0
Sagar,154874.0,14.908280871670701,96204.37882163035,480.0,5660.0
West Godavari,155424.0,14.84362232588065,96127.29818240309,480.0,5655.0
Hardoi,173915.0,13.249643506060396,96012.98959818724,480.0,5648.0
Ludhiana,174345.0,13.203486171176856,95915.07485474285,480.0,5643.0
Sangli,167640.0,13.716572914740427,95810.26180946188,480.0,5636.0
Tiruvallur,154831.0,14.82112870724398,95615.42411963719,480.0,5625.0
Nagaur,165022.0,13.889276040309532,95501.50461349831,480.0,5618.0
Sangli,165929.0,13.80645452901826,95453.7997310613,480.0,5615.0
Ludhiana,172115.0,13.309773641032791,95450.48709276495,480.0,5615.0
Sangli,165530.0,13.827681823948383,95370.67384659067,480.0,5611.0
Vadodara,153892.0,14.861559655085026,95294.79743501436,480.0,5606.0
Bijnor,154326.0,14.817109125428473,95277.71595378646,480.0,5605.0
Ranchi,175102.0,13.055173240892504,95249.4560344483,480.0,5603.0
Srikakulam,179530.0,12.732007285649832,95240.71949969644,480.0,5603.0
Darbhanga,154395.0,14.784871369724604,95112.92563035959,480.0,5595.0
West Delhi,175661.0,12.991113615921485,95084.66703693266,480.0,5594.0
Madurai,172501.0,13.227179974724931,95070.90720083438,480.0,5593.0
Pratapgarh,182595.0,12.479271177900939,94943.85503036759,480.0,5585.0
Prakasam,153337.0,14.8384288304269,94803.3400654654,480.0,5577.0
Bangalore,160764.0,14.144558828103133,94747.32731004886,480.0,5574.0
Bangalore,160185.0,14.177612275729464,94626.70093282186,480.0,5567.0
Bangalore,160055.0,14.185066476733143,94599.6172888968,480.0,5565.0
Satara,167617.0,13.528588815043731,94484.22797546604,480.0,5558.0
Satara,167136.0,13.553133058508887,94384.01861945589,480.0,5553.0
Satara,166479.0,13.586887313791447,94247.1422130286,480.0,5544.0
Barmer,168974.0,13.381151057848793,94211.1091187059,480.0,5542.0
Satara,166173.0,13.602699579958356,94183.39155418416,480.0,5541.0
Bangalore,157848.0,14.31348947411767,94139.8202712719,480.0,5538.0
Madurai,167647.0,13.465385808360374,94059.64727559131,480.0,5533.0
West Delhi,170522.0,13.231939386475725,94014.03200252556,480.0,5531.0
Ludhiana,164915.0,13.672566639986417,93950.47197638999,480.0,5527.0
Chennai,152425.0,14.782878249117605,93886.67571340628,480.0,5523.0
Madurai,166487.0,13.524368122627457,93817.97815132824,480.0,5519.0
Samastipur,153435.0,14.667190229150917,93769.18053374045,480.0,5516.0
Pratapgarh,176161.0,12.752438096751854,93603.42698174597,480.0,5507.0
Ranchi,166784.0,13.456905597026111,93516.52262893344,480.0,5501.0
Srikakulam,170773.0,13.128491456544907,93416.32797952264,480.0,5496.0
Pratapgarh,175259.0,12.792337099166952,93415.50865262089,480.0,5496.0
Madurai,164417.0,13.631688744541352,93386.72367963564,480.0,5494.0
Srikakulam,169611.0,13.184179185434992,93174.24232586726,480.0,5481.0
Barmer,163131.0,13.681343942328912,92993.8049440024,480.0,5471.0
Srikakulam,168576.0,13.234426997751768,92958.61523220844,480.0,5469.0
Barmer,162899.0,13.693707796193983,92945.47109550849,480.0,5468.0
Ranchi,163501.0,13.62671404631136,92832.55722024807,480.0,5461.0
Rajkot,181308.0,12.288082775813667,92830.32132988435,480.0,5461.0
Kancheepuram,149999.0,14.841166666666666,92756.67328472223,480.0,5457.0
Ranchi,161035.0,13.75881790407114,92318.80171592068,480.0,5431.0
Sitamarhi,178953.0,12.361696301842931,92173.44326265408,480.0,5422.0
Bhopal,169967.0,13.013184834792431,92158.8327839652,480.0,5422.0
Bangalore,148055.0,14.929519911384881,92099.58627000368,480.0,5418.0
Sangli,149602.0,14.767551452845197,92052.3013520228,480.0,5415.0
Nagaur,148254.0,14.894674715861186,92008.12938855351,480.0,5413.0
Sitamarhi,176594.0,12.460035674849232,91681.9808318469,480.0,5394.0
Shivpuri,160527.0,13.679326970995714,91495.8883613762,480.0,5383.0
Buldhana,165795.0,13.24118193442544,91471.73995075274,480.0,5381.0
Buldhana,165608.0,13.250487594273258,91432.78122968358,480.0,5379.0
Buldhana,164233.0,13.319562331794877,91146.32001823618,480.0,5362.0
Bulandshahr,182075.0,12.007760495617214,91096.37467664601,480.0,5359.0
Shivpuri,158168.0,13.80877415928532,91004.42463441002,480.0,5354.0
Buldhana,162931.0,13.386044484815752,90875.06724814649,480.0,5346.0
Pratapgarh,162938.0,13.381572244827819,90848.60910115646,480.0,5345.0
Shivpuri,155535.0,13.957893992387614,90455.87675441698,480.0,5321.0
Sitamarhi,170605.0,12.721914821284129,90434.26158688244,480.0,5320.0
Hardoi,146555.0,14.78973907584814,90312.9254275385,480.0,5313.0
Bilaspur,172820.0,12.539911237638945,90297.81083703176,480.0,5312.0
Bilaspur,172023.0,12.57484420778496,90131.76771482467,480.0,5302.0
